receiver_player_name,posteam,week,week#,targets,complete_pass,yards_gained,air_yards,xYards,cp,implied_posteam_total,goal_to_go,qb_hit,middle,yards_after_catch,xyac_mean_yardage,team_attempts,team_air_yards,szn,target_week
D.London,ATL,9,9,7,3.0,23.0,61.0,38.16782211832263,3.900607138872146,23.5,2,1.0,1,2.0,9.04271360122948,23,343.0,2022,10
K.Hodge,ATL,9,9,2,1.0,19.0,30.0,23.18776220871201,1.333287239074707,23.5,0,0.0,1,1.0,4.28185340610798,23,343.0,2022,10
K.Pitts,ATL,9,9,7,2.0,27.0,208.0,83.81414477553366,3.189646571874618,23.5,0,0.0,0,10.0,9.291751385404499,23,343.0,2022,10
M.Pruitt,ATL,9,9,1,1.0,6.0,5.0,4.123849549132361,0.63896644115448,23.5,1,0.0,0,1.0,2.03716196701862,23,343.0,2022,10
O.Zaccheaus,ATL,9,9,2,2.0,19.0,17.0,17.89222989189183,1.495518326759339,23.5,0,0.0,1,2.0,8.881699303499769,23,343.0,2022,10
T.Allgeier,ATL,9,9,1,1.0,24.0,5.0,6.354216274094818,0.791651964187622,23.5,0,0.0,0,19.0,4.03186749453016,23,343.0,2022,10
C.Patterson,ATL,10,10,1,1.0,2.0,2.0,5.09140609924187,0.781002879142761,22.0,0,0.0,0,0.0,4.32546309451573,29,354.0,2022,11
D.Byrd,ATL,10,10,4,3.0,58.0,56.0,38.74645285277984,2.317811042070389,22.0,0,0.0,0,8.0,11.714697371826329,29,354.0,2022,11
D.London,ATL,10,10,6,5.0,38.0,70.0,50.36039840467293,3.798014581203462,22.0,1,0.0,3,8.0,20.90720828340273,29,354.0,2022,11
K.Hodge,ATL,10,10,2,2.0,37.0,36.0,16.203926538739545,0.90989026427269,22.0,0,0.0,0,1.0,2.82277722342405,29,354.0,2022,11
K.Pitts,ATL,10,10,8,2.0,28.0,135.0,79.47250160610174,4.457457393407822,22.0,0,1.0,1,1.0,7.584426471643381,29,354.0,2022,11
M.Pruitt,ATL,10,10,1,1.0,6.0,4.0,6.757737254861787,0.807110905647278,22.0,0,0.0,1,2.0,4.67972939232277,29,354.0,2022,11
O.Zaccheaus,ATL,10,10,4,2.0,34.0,65.0,44.73486330728707,2.117590427398682,22.0,0,2.0,2,11.0,7.735529093202789,29,354.0,2022,11
T.Allgeier,ATL,10,10,3,3.0,-17.0,-14.0,10.862805351138629,1.9456309080123901,22.0,0,2.0,1,-3.0,31.04014508375262,29,354.0,2022,11
D.Duvernay,BAL,1,1,4,4.0,54.0,47.0,25.519629213403142,2.2584554255008698,25.25,0,0.0,1,7.0,10.09886373623158,29,352.0,2022,2
D.Robinson,BAL,1,1,4,2.0,19.0,41.0,31.77873753827932,2.679434061050415,25.25,0,0.0,0,9.0,6.82133582499228,29,352.0,2022,2
J.Hill,BAL,1,1,2,2.0,7.0,3.0,12.121789957718448,1.6119386553764339,25.25,0,0.0,0,4.0,11.374048757308628,29,352.0,2022,2
K.Drake,BAL,1,1,1,1.0,15.0,-3.0,5.985570376960548,0.875285804271698,25.25,0,0.0,0,18.0,10.359405293304,29,352.0,2022,2
M.Andrews,BAL,1,1,7,5.0,52.0,99.0,63.1683218256136,4.053294777870179,25.25,0,0.0,1,11.0,20.92305894329185,29,352.0,2022,2
P.Ricard,BAL,1,1,1,1.0,7.0,2.0,5.909118307943304,0.787574231624603,25.25,0,0.0,0,5.0,5.64133340831177,29,352.0,2022,2
R.Bateman,BAL,1,1,5,2.0,59.0,108.0,55.75998119643653,2.79970982670784,25.25,0,1.0,3,12.0,12.74771571000744,29,352.0,2022,2
D.Duvernay,BAL,2,2,2,2.0,42.0,35.0,29.296948107333066,1.330793261528016,23.5,0,0.0,2,7.0,10.20475253745099,29,314.0,2022,3
D.Robinson,BAL,2,2,2,1.0,12.0,24.0,9.071626045635927,0.838389098644257,23.5,0,0.0,1,0.0,0.0,29,314.0,2022,3
I.Likely,BAL,2,2,5,4.0,43.0,38.0,44.57070226079601,3.4165704250335702,23.5,0,0.0,1,30.0,32.01890127806109,29,314.0,2022,3
M.Andrews,BAL,2,2,11,9.0,104.0,125.0,90.42588942816488,7.117712378501892,23.5,1,0.0,5,24.0,30.14477489847923,29,314.0,2022,3
R.Bateman,BAL,2,2,7,4.0,108.0,85.0,55.88921316134004,4.714970022439957,23.5,0,0.0,1,84.0,16.198495529817592,29,314.0,2022,3
T.Wallace,BAL,2,2,2,1.0,9.0,7.0,14.372964280407214,1.567988157272339,23.5,0,0.0,2,1.0,4.37756689345406,29,314.0,2022,3
D.Duvernay,BAL,3,3,2,2.0,25.0,15.0,12.485569207201527,1.0764711201190948,24.0,1,0.0,1,10.0,4.45583132568572,27,261.0,2022,4
I.Likely,BAL,3,3,2,1.0,8.0,-6.0,10.387288424161461,1.618852257728577,24.0,0,0.0,2,10.0,8.96546901360125,27,261.0,2022,4
J.Dobbins,BAL,3,3,2,2.0,17.0,4.0,11.584633521774323,1.5949694514274602,24.0,0,0.0,0,13.0,10.631006351351981,27,261.0,2022,4
J.Oliver,BAL,3,3,2,2.0,8.0,-3.0,6.582494775306214,1.470663189888,24.0,1,0.0,1,11.0,10.6099965514441,27,261.0,2022,4
M.Andrews,BAL,3,3,13,8.0,89.0,152.0,117.90294229019251,8.217126250267029,24.0,1,0.0,4,36.0,30.86225193444989,27,261.0,2022,4
P.Ricard,BAL,3,3,1,1.0,12.0,2.0,4.072306153691754,0.539440810680389,24.0,0,1.0,0,10.0,4.42579025827581,27,261.0,2022,4
R.Bateman,BAL,3,3,4,2.0,59.0,88.0,49.77506869621538,1.79471218585968,24.0,0,0.0,0,23.0,8.996066420440911,27,261.0,2022,4
D.Duvernay,BAL,4,4,5,4.0,51.0,45.0,27.74344977941816,2.894062697887421,23.5,2,1.0,0,8.0,11.525533770938637,28,125.0,2022,5
D.Robinson,BAL,4,4,3,2.0,10.0,12.0,21.215842737676358,2.340179860591888,23.5,0,0.0,2,3.0,10.42390745378362,28,125.0,2022,5
J.Dobbins,BAL,4,4,4,4.0,22.0,-1.0,19.23742624540985,3.3436746597290052,23.5,1,0.0,2,23.0,24.32333355945592,28,125.0,2022,5
J.Hill,BAL,4,4,2,2.0,12.0,-6.0,10.535880953665234,1.685736298561097,23.5,0,0.0,1,18.0,18.594914048335298,28,125.0,2022,5
M.Andrews,BAL,4,4,5,2.0,15.0,38.0,32.09503539843183,3.327660501003266,23.5,0,0.0,2,4.0,7.47257459169486,28,125.0,2022,5
P.Ricard,BAL,4,4,3,3.0,17.0,1.0,15.980115798120206,2.211848735809327,23.5,0,0.0,2,16.0,21.025334787867912,28,125.0,2022,5
R.Bateman,BAL,4,4,6,3.0,17.0,36.0,49.38969864041947,4.243174433708191,23.5,0,0.0,4,0.0,16.32482788535708,28,125.0,2022,5
D.Duvernay,BAL,5,5,7,5.0,54.0,111.0,62.25567053811021,4.041232824325562,25.25,0,2.0,2,24.0,30.68143105761556,27,255.0,2022,6
D.Robinson,BAL,5,5,2,1.0,8.0,34.0,20.196353537606317,1.051096737384796,25.25,0,0.0,0,0.0,3.04630910101696,27,255.0,2022,6
I.Likely,BAL,5,5,2,2.0,7.0,-1.0,8.79363265778538,1.634638726711273,25.25,1,0.0,1,8.0,11.76837998864357,27,255.0,2022,6
J.Proche,BAL,5,5,2,1.0,7.0,11.0,15.050308774045005,1.5817123055458069,25.25,0,0.0,2,2.0,4.38503587017476,27,255.0,2022,6
K.Drake,BAL,5,5,1,1.0,1.0,-2.0,5.863992406895311,0.850327789783478,25.25,0,0.0,0,3.0,8.40026696209679,27,255.0,2022,6
M.Andrews,BAL,5,5,10,8.0,89.0,64.0,80.546784125437,6.833001583814622,25.25,0,1.0,5,37.0,39.51232553853334,27,255.0,2022,6
T.Wallace,BAL,5,5,2,1.0,8.0,42.0,18.108294862590817,0.900551095604896,25.25,0,0.0,0,1.0,3.60460126999533,27,255.0,2022,6
D.Duvernay,BAL,6,6,5,1.0,14.0,55.0,33.584825548269876,2.625891298055649,25.75,1,1.0,1,16.0,8.75239858896384,32,310.0,2022,7
